행번호,지역,시설명,할인행사명,시작일,종료일,연락처,홈페이지,상세설명,카테고리,상세주소
38,울산,롯데호텔 울산,연중 객실할인,2019.8.22,,052-960-1000,https://www.lottehotel.com/ulsan-hotel/ko.html,40%〜75%내외,숙박,울산 남구 삼산로 282 롯데호텔
39,서울,더프라자호텔 서울,연중 객실할인,2019.8.22,,02-310-7710,https://www.hoteltheplaza.com,29%-61%,숙박,서울 중구 소공로 119
40,서울,더 웨스틴 조선 호텔,연중 객실할인,2020.8.15,,02-317-0404,https://www.josunhotel.com/hotel/westinSeoul.do,40%〜75%내외,숙박,서울특별시 중구 소공로 106
41,전남,디오션리조트호텔(여수),연중 객실할인,2020.9.1,,1588-0009,http://www.theoceanresort.co.kr/,56%〜85%,숙박,전남 여수시 소호로 295
42,전남,라마다플라자호텔(광주),연중 객실할인,2020.8.15,,062-717-7000,http://www.ramadagwangju.com/,50%〜60%,숙박,광주 서구 상무자유로 149 라마다프라자호텔
43,제주,라마다플라자호텔(제주),연중 객실할인,2020.10.19,,064-729-8100,http://www.ramadajeju.co.kr/,62%˜67%,숙박,제주 제주시 탑동로 66
44,제주,라마다제주 시티호텔(제주),연중 객실할인,2021.7.31,,064-759-8831,http://www.ramadajejucity.com/,69%˜78%,숙박,제주 제주시 중앙로 304
45,제주,캠퍼트리호텔&리조트(제주),연중 객실할인,2021.7.31,,064-795-8888,http://www.camphortree.co.kr,64%˜76%,숙박,제주 제주시 해안마을서4길 100
46,충북,청풍리조트(제천),연중 객실할인,2021.7.31,,043-640-7000,https://www.cheongpungresort.co.kr,30%˜67%/ 레스토랑 10% 할인/ 사우나/수영장 50% 할인,숙박,충북 제천시 청풍면 청풍호로 1798
47,부산,펠릭스 바이 에스티엑스(해운대),연중 객실할인,2022.1.26,,051-969-5000,http://felixbystx.com,50%˜78%/ 조식 17% 할인,숙박,부산 해운대구 해운대로 620
48,부산,파라다이스호텔(부산),연중 객실할인,2022.1.26,,051-749-2111˜3,https://www.busanparadisehotel.co.kr/front,객실 56%˜68%(성수기 30%)/ 조식 17%할인/ 사우나 50% 할인,숙박,부산 해운대구 해운대해변로 296
49,부산,아바니센트럴호텔(부산),연중 객실할인,2022.1.26,,051-791-5800,https://www.avanihotels.com/ko/central-busan,객실 52%˜70%/ 성수기 요금 변동 가능/ 조식 50% 할인,숙박,부산 남구 전포대로 133 국제금융센터3번출구
50,부산,라발스호텔(부산),연중 객실할인,2022.1.26,,051-790-1500,https://www.lavalsehotel.co.kr,객실 72%˜ 80%/ 조식 25% 할인,숙박,부산 영도구 봉래나루로 82
51,부산,페어필드바이메리어트부산송도비치호텔,연중 객실할인,2022.1.26,,051-260-0000,http://www.marriott.co.kr/pusfb,객실 44% ˜ 74%/ 조식 33% 할인,숙박,부산 서구 송도해변로 113
52,제주,더 플래닛(제주),생태문화전시관,2022.1.26,,0507-1486-2027,https://ko.theplanetjeju.com/,입장권 50% 할인,이용권,제주 제주시 용마로4길 15
53,충남,아산스파비스,연중 이용권 할인,2017.5.19,,041-539-2000,www.spavis.co.kr,53%˜63%,이용권,충남 아산시 음봉면 아산온천로157번길 67
54,울산,바이 라한 울산,연중 객실할인,2020.3.13,,1644-8005,https://www.lahanhotels.com/ulsan/index.do,59%˜60%,숙박,울산 동구 방어진순환도로 875 호텔현대 바이 라한 울산
55,경북,라한셀렉트 경주,연중 객실할인,2020.3.13,,1644-8005,http://www.lahanhotels.com/gyeongju/index.do,70%˜85%,숙박,경북 경주시 보문로 338 라한셀렉트 경주
56,전북,라한호텔 전주,연중 객실할인,2020.3.13,,1644-8005,https://lahanhotels.com/jeonju/index.do,46%˜65%,숙박,전북 전주시 완산구 기린대로 85 라한호텔 전주
57,경북,라한호텔 포항,연중 객실할인,2020.3.13,,054-230-7000,http://www.lahanhotels.com/pohang/index.do,42%˜60%,숙박,경북 포항시 북구 삼호로265번길 1 라한호텔 포항
58,전남,바이 라한 목포,연중 객실할인,2020.3.13,,061-463-2233,https://www.lahanhotels.com/mokpo/index.do,20%˜44%,숙박,전남 영암군 삼호읍 대불로 91 호텔현대 바이 라한 목포
59,강원,씨마크 호텔,연중 객실할인,2020.3.13,,033-650-7000,http://www.seamarqhotel.com/,12% 〜52%,숙박,강원 강릉시 해안로406번길 2 씨마크호텔
60,강원,에버랜드 자유이용(국.복지정책과),연중이용할인권,2016.11.25,,070-7867-2014,www.everland.com,본인무료,이용권,경기 용인시 처인구 포곡읍 에버랜드로 199
61,경기,용평리조트 피크아일랜드,이용할인(자유이용권),2018.10.1,,02-509-6214,http://www.yongpyong.co.kr/kor/peakIsland/introduce.do,눈썰매장 및 자유이용권/  50%,이용권,강원 평창군 대관령면 올림픽로 715
62,충남,과천서울랜드,이용할인,2016.11.25,,070-7867-2014,seoulland.co.kr,눈썰매장 및 자유이용권/  50%,이용권,경기 과천시 광명로 181
63,경기,파라다이스 도고 스파,연중 이용할인,2016.12.26,,02-456-2014,www.paradisespa.co.kr,씨엘스포츠 폐쇄몰 예약/ 50%,이용권,충남 아산시 도고면 도고온천로 176
64,경기,어메이징파크,스키시즌권 ,2018.9.7,,02-456-2014,http://www.amazingpark.co.kr/,씨엘스포츠 폐쇄몰 예약/ 50%,이용권,경기 포천시 신북면 탑신로 860
65,경기,베어스타운 스키시즌권,리프트권,2017.11.22,,070-7867-2014,http://www.bearstown.com,씨엘스포츠 폐쇄몰 예약/ 50%,이용권,경기 포천시 내촌면 금강로2536번길 27
66,강원,베어스타운 리프트권,스키시즌권,2016.9.5,,070-7867-2014,http://www.bearstown.com,씨엘스포츠 폐쇄몰 예약/ 50%,이용권,경기 포천시 내촌면 금강로2536번길 27
67,강원,용평리조트 스키시즌권,리프트권,2016.11.25,,070-7867-2014,https://www.yongpyong.co.kr/kor/skiNboard/introduce.do,씨엘스포츠 폐쇄몰 예약/ 연도별 가격 변동,이용권,강원 평창군 대관령면 올림픽로 715
68,강원,용평리조트 리프트권,스키시즌권,2017.8.29,,02-456-2014,https://www.yongpyong.co.kr/kor/skiNboard/introduce.do,씨엘스포츠 폐쇄몰 예약/ 연도별 가격 변동,이용권,강원 평창군 대관령면 올림픽로 715
69,강원,웰리힐리 스키시즌권,스키시즌권,2017.9.12,,02-456-2014,https://www.wellihillipark.com/sub3/,씨엘스포츠 폐쇄몰 예약/ 연도별 가격 변동,이용권,강원 횡성군 둔내면 고원로 451-1
70,강원,보광휘닉스파크 스키시즌권,스키시즌권 1차,2018.8.29,,02-2031-1438,http://phoenixhnr.co.kr/pyeongchang/index,씨엘스포츠 폐쇄몰 예약/ 연도별 가격 변동,이용권,강원 평창군 봉평면 태기로 174
71,강원,용평리조트 발왕산 케이블카 왕복권,이용할인,2018.10.25,,02-456-2014,http://www.yongpyong.co.kr/kor/peakIsland/introduce.do,씨엘스포츠 폐쇄몰 예약/ 패키지 50% 할인,이용권,강원 평창군 대관령면 올림픽로 715
72,경기,베어스타운리조트 스키장비 렌탈,스키장비 대여할인,2018.12.6,,02-456-2014,http://www.bearstown.com,씨엘스포츠 폐쇄몰 예약/ 50%,이용권,경기 포천시 내촌면 금강로2536번길 27
73,제주,세인트포 골프&리조트,골프,2019.11.12,,064-786-3800,https://www.stfour.com/index.asp,골프 25% 〜 15%/ 콘도 50% 〜 20%,이용권,제주 제주시 구좌읍 선유로 445-55 세인트포 C·C
74,경남,거제씨월드,연중 이용할인,2017.1.11,,055-682-0330,www.geojeseaworld.com,10% ˜ 20%,이용권,경남 거제시 일운면 지세포해안로 15
75,서울,한화아쿠아플라넷,이용할인,2017.4.13,,1661-1063,www.aquaplanet.co.kr/index,50% 내외,이용권,서울 영등포구 63로 50
76,전국,롯데시네마(국.복지정책과),연중 이용할인,2018.1.1,,02-748-6625,https://www.welfare.mil.kr,2D 주중 7000원/ 주말 8000원 관람/ 3D 주중 8000원/ 주말 9000원/ 매점 2000원 ˜ 4000원 할인 * 동반 3인,영화,
77,서울,코엑스아쿠아리움,연중 이용할인,2017.11.24,,02-700-7305,www.coexaqua.com,50% 내외 ,이용권,서울 강남구 영동대로 513
78,서울,N서울타워,연중 이용할인,2018.2.28,,02-3445-9221,http://www.nseoultower.com/,패키지상품 운영,이용권,서울 용산구 남산공원길 105
79,서울,롯데월드언더씨킹덤,연중 이용할인,2018.7.1,,02-456-2014,adventure.lotteworld.com,씨엘스포츠 폐쇄몰 예약,이용권,서울 송파구 올림픽로 240
80,전국,CGV(국.복지정책과),연중 이용할인,2016.9.22,,02-748-6625,https://www.welfare.mil.kr,주중 7000원/ 주말(2D/3D) 8000원/ 더블콤보 5000원 할인/ 동반3인,영화,
81,전국,빕스할인(국.복지정책과),연중 이용할인,2016.9.22,,02-748-6625,https://www.welfare.mil.kr,군인동반 테이블에 한해 1일 1회/ 할인 전 주문금액 10만원한도내,이용권,
82,전국,메가박스할인(국.복지정책과),연중 이용할인,2018.10.8,,02-748-6625,https://www.welfare.mil.kr,2D 주중 7000원/ 주말 8000원 관람/ 3D 주중 8000원/ 주말 9000원/ 매점더블콤보 6000원 할인 * 동반 3인,영화,
83,전국,JDX 멀티스포츠,매장이용할인,2016.8.1,,02-2225-6216,https://www.welfare.mil.kr,50%˜60%,이용권,
84,전국,에어부산(수송사),이용할인,2016.7.4,2026.7.31,02-3419-7553,https://www.welfare.mil.kr,부산-김포(월 〜목 15%/ 금 ˜일 10%)/ 제주 노선 10%/ 국제선 4 〜 6%/ 성수기 및 일부기간 제외/ 해당항공사 접속,항공,
85,전국,진에어(수송사),이용할인,2017.9.18,2026.12.1,02-3419-7553,https://www.welfare.mil.kr,"주중,주말 탄력할증/ 성수기 정상운임의 10%/ 해당항공사 접속",항공,
86,전국,에어서울(수송사),이용할인,2022.4.15,,,https://www.airseoul.com,국내선 할인 10%/  에어서울 홈페이지 접속후 인터넷 예약,항공,
87,전국,제주렌트카,이용할인,2017.10.1,,1588-3301,https://www.welfare.mil.kr,비수기 주중 최대85%/ 주말80%/ 연휴  최대40%〜65%/ 극성수기 최대 30%/ 해당업체 사이트 접속 필요,렌트,
88,전국,롯데렌터카,연중 이용할인,2015.9.9,,1588-1230,https://www.welfare.mil.kr,주중 50%/ 주말 45%/ 해당 업체 사이트 접속필요,렌트,
89,전국,티웨이항공(수송사),연중 운임할인,2016.12.2,2026.12.1,02-3419-7553,https://www.welfare.mil.kr,10~30%/ 해당항공사 접속,항공,
90,전국,제주항공(수송사),연중 운임할인,2016.12.2,2026.6.30,02-3419-7553,https://www.welfare.mil.kr,7~25%,항공,
91,전국,통인익스프레스,이용할인,2018.2.1,2023.2.28,1899-0123,https://www.welfare.mil.kr,12%〜20%,이사,
92,전국,로젠이사,이용할인,2018.2.1,2023.2.28,1544-0024,https://www.welfare.mil.kr,7%〜13%,이사,
93,전국,대신로지스틱스,이용할인,2018.2.1,2023.2.28,02-3436-0123,https://www.welfare.mil.kr,5%〜7%,이사,
94,전국,국민트랜스,이용할인,2018.2.1,2023.2.28,02-482-0071,https://www.welfare.mil.kr,10%〜14%,이사,
